"filename", "language", "XML", "C#", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Embe.C2C.Api.csproj", "XML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\AuthEndPoints.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\JudgementEndPoints.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MatchingEndPoints.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MessageEndPoints.cs", "C#", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\NotificationEndPoints.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\UserEndPoints.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\FailureReasonExtensions.cs", "C#", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 8, 87
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\ResultExtensions.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Program.cs", "C#", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 16, 109
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\appsettings.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Repos\Repository.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 14, 106
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Result.cs", "C#", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\AuthService.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\Credentials.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthenticatedUserService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\FileService.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\NotificationService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\IWorkItemService.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\DeleteFile.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\AuthorizationFactGenerator.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MatchingFactGenerator.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MessageFactGenerator.cs", "C#", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 13, 104
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\UserFactGenerator.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 8, 81
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFact.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFactStore.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\ConversationAuthorizationFactStore.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\Facts\IsParticipantConversationFact.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudge.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudgee.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsPositivelyJudgedJudgee.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\JudgementAuthorizationFactStore.cs", "C#", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\Facts\IsParticipantMatchFact.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\MatchingAuthorizationFactStore.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\Facts\AuthorMessageFact.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\Facts\RecipientMessageFact.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\MessageAuthorizationFactStore.cs", "C#", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
