"filename", "language", "MS SQL", "JSON", "Python", "C#", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\data\scripts\LoadADMFileToDb.sql", "MS SQL", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Miro\source\repos\Embe.C2C\data\scripts\gadm_add_centroid.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 53, 11, 91
"c:\Users\Miro\source\repos\Embe.C2C\package-lock.json", "JSON", 0, 756, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\Miro\source\repos\Embe.C2C\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\GeographyEndPoints.cs", "C#", 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SearchProfileEndPoints.cs", "C#", 0, 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\UserEndPoints.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Program.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Entities\IAdminArea.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Repos\Repository.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\JudgementAuthorizationFactGenerator.cs", "C#", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\SearchProfileFactGenerator.cs", "C#", 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\JudgementAuthorizationFactStore.cs", "C#", 0, 0, 0, -1, 0, 0, 0, 0, 0, -3, -4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsCandidateForUserFact.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsMatchedFact.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsOwnerFact.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\SearchProfileAuthorizationFactStore.cs", "C#", 0, 0, 0, 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\JudgementAuthorizationPolicy.cs", "C#", 0, 0, 0, -70, 0, 0, 0, 0, 0, -13, -83
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\JudgementAuthorizationService.cs", "C#", 0, 0, 0, 65, 0, 0, 0, 0, 21, 11, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MatchingAuthorizationPolicy.cs", "C#", 0, 0, 0, -108, 0, 0, 0, 0, 0, -16, -124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MatchingAuthorizationService.cs", "C#", 0, 0, 0, 73, 0, 0, 0, 0, 41, 10, 124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MessageAuthorizationPolicy.cs", "C#", 0, 0, 0, -96, 0, 0, 0, 0, 0, -12, -108
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MessageAuthorizationService.cs", "C#", 0, 0, 0, 81, 0, 0, 0, 0, 18, 9, 108
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\SearchProfileAuthorizationService.cs", "C#", 0, 0, 0, 79, 0, 0, 0, 0, 0, 15, 94
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\UserAuthorizationPolicy.cs", "C#", 0, 0, 0, -132, 0, 0, 0, 0, 0, -26, -158
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\UserAuthorizationService.cs", "C#", 0, 0, 0, 108, 0, 0, 0, 0, 21, 19, 148
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\Handlers\JudgeHandler.cs", "C#", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Matching\Handlers\UnmatchHandler.cs", "C#", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\CreateMessageHandler.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\EditMessageHandler.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\CreateSearchProfileCommand.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\CreateSearchProfileHandler.cs", "C#", 0, 0, 0, 105, 0, 0, 0, 0, 0, 8, 113
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\UpdateSearchProfileHandler.cs", "C#", 0, 0, 0, 125, 0, 0, 0, 0, 0, 11, 136
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\UpdateSearchProfileCommand.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
