"filename", "language", "JSON with Comments", "YAML", "MS SQL", "TypeScript", "JSON", "TypeScript JSX", "C#", "XML", "PostCSS", "Markdown", "Skill", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder-api.yml", "YAML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 59
"c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder.yml", "YAML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 44
"c:\Users\Miro\source\repos\Embe.C2C\data\ADM.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\data\scripts\LoadADMFileToDb.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Miro\source\repos\Embe.C2C\settings.json", "JSON with Comments", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Embe.C2C.Api.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SearchProfileEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SignalREndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\UserEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiDocumentTransformer.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiEndpointExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\ContentSafetyService.cs", "C#", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 1, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\FileService.cs", "C#", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\MoveImage.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\AuthorizationFactGenerator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\CandidateUserFact.cs", "C#", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\SearchProfileAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignInHandler.cs", "C#", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\CommandHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Images\Handlers\ProcessUploadedImageHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Images\ProcessUploadedImageCommand.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\Handlers\JudgeHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\DeleteSearchProfileCommand.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\CreateSearchProfileHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\DeleteSearchProfileHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 6, 71
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\UpdateSearchProfileHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\TransactionalCommandHandler.cs", "C#", 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, 0, -9, -56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\AddImageCommand.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\AddImageHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\GenerateCandidatesHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\RegisterHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\UpdateHandler.cs", "C#", 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 1, 0, -3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\UpdateCommand.cs", "C#", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Matching.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\User.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\FileDetailsDto.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\UserVariant.cs", "C#", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\UrlGenerator.cs", "C#", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\EventHandlers\DomainEventHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\EventHandlers\IntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Images\ImageRemovedEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Images\ImageStatusChangedEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\IntegrationEvent.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\Domain\Aggregates\MatchingExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Matchings\Handlers\GetMatchingByIdHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Matchings\Handlers\GetMatchingsHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 54, 223
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\aws.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 58, 177
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\azure.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 92, 317
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\cicd.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 84, 343
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\docker-compose.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 55, 156
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\github-actions-azure-csharp.yml", "YAML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\github-actions-azure-typescript.yml", "YAML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 54
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\javascript.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 32, 127
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\kubernetes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 79, 237
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references\preflight.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 63, 190
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-init\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 29, 147
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-init\references\init-workflow.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 29, 124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-init\references\templates.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 24, 93
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 52, 198
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring\references\diagnostics-bridge.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 54, 210
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring\references\monitoring.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 51, 162
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring\references\playwright-handoff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 7, 22
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 38, 205
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references\agent-workflows.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 37, 120
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references\app-commands.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 29, 124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references\detection.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 1, 49, 161
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references\resource-management.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 10, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references\safety-guardrails.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 84, 273
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 27, 160
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\.agents\skills\aspire\references\aspire-13-3-breaking-changes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 23, 111
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\apphost.cs", "C#", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\apphost.run.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Aspire\aspire.config.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
