"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "MS SQL", "Python", "Markdown", "JavaScript", "TypeScript JSX", "C#", "XML", "PostCSS", "Skill", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder-api.yml", "YAML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 59
"c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder.yml", "YAML", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 44
"c:\Users\Miro\source\repos\Embe.C2C\data\ADM.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\data\scripts\LoadADMFileToDb.sql", "MS SQL", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Miro\source\repos\Embe.C2C\data\scripts\gadm_add_centroid.py", "Python", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 53, 11, 91
"c:\Users\Miro\source\repos\Embe.C2C\package-lock.json", "JSON", 756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 757
"c:\Users\Miro\source\repos\Embe.C2C\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\settings.json", "JSON with Comments", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Embe.C2C.Api.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\AuthEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\GeographyEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\JudgementEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MatchingEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MessageEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 8, 93
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\NotificationEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SearchProfileEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 81
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SignalREndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\UserEndPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 11, 75
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\FailureReasonExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 8, 87
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\ResultExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 49
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiDocumentTransformer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
